実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,99,午前半日休-所定休憩1終了時刻,AMOffBreakEndTime1__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,100,午前半日休-所定休憩2終了時刻,AMOffBreakEndTime2__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,101,午前半日休-所定休憩3終了時刻,AMOffBreakEndTime3__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,102,午前半日休-所定休憩4終了時刻,AMOffBreakEndTime4__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,103,午前半日休-所定休憩5終了時刻,AMOffBreakEndTime5__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,104,午前半日休-所定休憩1開始時刻,AMOffBreakStartTime1__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,105,午前半日休-所定休憩2開始時刻,AMOffBreakStartTime2__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,106,午前半日休-所定休憩3開始時刻,AMOffBreakStartTime3__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,107,午前半日休-所定休憩4開始時刻,AMOffBreakStartTime4__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,108,午前半日休-所定休憩5開始時刻,AMOffBreakStartTime5__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,109,午前半日休-終業時刻（コアタイム終了時刻）,AMOffCoretimeEndTime__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,110,午前半日休-始業時刻（コアタイム開始時刻）,AMOffCoretimeStartTime__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,111,午前半日休-所定労働時間,AMOffStandardScheduledTime__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,112,休憩終了時間1,BreakEndTime1__c,テキスト,,,,,〇,
,113,休憩終了時間2,BreakEndTime2__c,テキスト,,,,,〇,
,114,休憩終了時間3,BreakEndTime3__c,テキスト,,,,,〇,
,115,休憩終了時間4,BreakEndTime4__c,テキスト,,,,,〇,
,116,休憩終了時間5,BreakEndTime5__c,テキスト,,,,,〇,
,117,休憩開始時間1,BreakStartTime1__c,テキスト,,,,,〇,
,118,休憩開始時間2,BreakStartTime2__c,テキスト,,,,,〇,
,119,休憩開始時間3,BreakStartTime3__c,テキスト,,,,,〇,
,120,休憩開始時間4,BreakStartTime4__c,テキスト,,,,,〇,
,121,休憩開始時間5,BreakStartTime5__c,テキスト,,,,,〇,
,122,終了時刻（定時・コアタイム）,CoretimeEndTime__c,テキスト,,,,,〇,
,123,開始時刻（定時・コアタイム）,CoretimeStartTime__c,テキスト,,,,,〇,
,124,割増請求開始時刻,ExtraChargeEndTime__c,テキスト,,,,,〇,
,125,割増請求開始時間,ExtraChargeStartHours__c,テキスト,,,,,〇,
,126,終了時刻（フレキシブルタイム）,FlexibleEndTime__c,テキスト,,,,,〇,
,127,開始時刻（フレキシブルタイム）,FlexibleStartTime__c,テキスト,,,,,〇,
,128,午後半日休-所定休憩1終了時刻,PMOffBreakEndTime1__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,129,午後半日休-所定休憩2終了時刻,PMOffBreakEndTime2__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,130,午後半日休-所定休憩3終了時刻,PMOffBreakEndTime3__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,131,午後半日休-所定休憩4終了時刻,PMOffBreakEndTime4__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,132,午後半日休-所定休憩5終了時刻,PMOffBreakEndTime5__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,133,午後半日休-所定休憩1開始時刻,PMOffBreakStartTime1__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,134,午後半日休-所定休憩2開始時刻,PMOffBreakStartTime2__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,135,午後半日休-所定休憩3開始時刻,PMOffBreakStartTime3__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,136,午後半日休-所定休憩4開始時刻,PMOffBreakStartTime4__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,137,午後半日休-所定休憩5開始時刻,PMOffBreakStartTime5__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,138,午後半日休- 終業時刻（コアタイム終了時刻）,PMOffCoretimeEndTime__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,139,午後半日休- 始業時刻（コアタイム開始時刻）,PMOffCoretimeStartTime__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,140,午後半日休-所定労働時間,PMOffStandardScheduledTime__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,141,客先標準所定内時間,StandardScheduledTime__c,テキスト,,,,,〇,
